srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
5c:a6:e6:88:ee:6c,10:09:f9:2b:59:f7,0x0800,*,192.168.1.1,*,17,67,*,1400,*,*,0,0
10:09:f9:2b:59:f7,5c:a6:e6:88:ee:6c,0x0800,*,*,192.168.1.1,17,*,67,1400,*,*,0,0
10:09:f9:2b:59:f7,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,2398,13
10:09:f9:2b:59:f7,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,60,1
5c:a6:e6:88:ee:6c,10:09:f9:2b:59:f7,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
5c:a6:e6:88:ee:6c,10:09:f9:2b:59:f7,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
5c:a6:e6:88:ee:6c,10:09:f9:2b:59:f7,0x0800,*,*,*,1,*,*,1000,*,*,0,0
10:09:f9:2b:59:f7,5c:a6:e6:88:ee:6c,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
10:09:f9:2b:59:f7,5c:a6:e6:88:ee:6c,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
10:09:f9:2b:59:f7,5c:a6:e6:88:ee:6c,0x0800,*,*,*,1,*,*,1000,*,*,0,0
5c:a6:e6:88:ee:6c,10:09:f9:2b:59:f7,0x0800,*,*,*,17,123,*,1000,*,*,0,0
10:09:f9:2b:59:f7,5c:a6:e6:88:ee:6c,0x0800,*,*,*,17,*,123,1000,*,*,0,0
5c:a6:e6:88:ee:6c,10:09:f9:2b:59:f7,*,*,*,*,17,53,*,1000,*,*,0,0
10:09:f9:2b:59:f7,5c:a6:e6:88:ee:6c,*,*,*,*,17,*,53,1000,*,*,0,0
*,10:09:f9:2b:59:f7,0x0806,*,*,*,*,*,*,1000,*,*,0,0
10:09:f9:2b:59:f7,*,0x0806,*,*,*,*,*,*,1000,*,*,0,0
10:09:f9:2b:59:f7,5c:a6:e6:88:ee:6c,0x0800,*,*,*,17,*,*,800,*,*,0,0
10:09:f9:2b:59:f7,5c:a6:e6:88:ee:6c,0x0800,*,*,*,6,*,*,800,*,*,0,0
5c:a6:e6:88:ee:6c,10:09:f9:2b:59:f7,0x0800,*,*,*,17,*,*,700,*,*,0,0
5c:a6:e6:88:ee:6c,10:09:f9:2b:59:f7,0x0800,*,*,*,6,*,*,700,*,*,0,0
10:09:f9:2b:59:f7,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
10:09:f9:2b:59:f7,*,0x0800,*,*,*,17,41948,*,610,*,*,24035,115
10:09:f9:2b:59:f7,*,0x0800,*,*,*,17,48773,*,610,*,*,12114,57
10:09:f9:2b:59:f7,*,0x0800,*,*,*,17,56528,*,610,*,*,4935,21
10:09:f9:2b:59:f7,*,0x0800,*,*,*,17,63308,*,610,*,*,3960,30
*,10:09:f9:2b:59:f7,0x0800,*,*,*,17,*,63308,610,*,*,3960,30
*,10:09:f9:2b:59:f7,0x0800,*,*,*,17,*,56528,610,*,*,4935,21
*,10:09:f9:2b:59:f7,0x0800,*,*,*,17,*,48773,610,*,*,12114,57
*,10:09:f9:2b:59:f7,0x0800,*,*,*,17,*,41948,610,*,*,24035,115
*,10:09:f9:2b:59:f7,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,10:09:f9:2b:59:f7,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,10:09:f9:2b:59:f7,0x0800,*,*,*,17,*,*,600,*,*,9721,31
*,10:09:f9:2b:59:f7,0x0800,*,*,*,6,*,*,600,*,*,148,2
