srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
5c:a6:e6:88:ee:6c,00:24:e4:db:3b:16,0x0800,*,192.168.1.1,*,17,67,*,1400,*,*,0,0
00:24:e4:db:3b:16,5c:a6:e6:88:ee:6c,0x0800,*,*,192.168.1.1,17,*,67,1400,*,*,0,0
5c:a6:e6:88:ee:6c,00:24:e4:db:3b:16,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
5c:a6:e6:88:ee:6c,00:24:e4:db:3b:16,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
5c:a6:e6:88:ee:6c,00:24:e4:db:3b:16,0x0800,*,*,*,1,*,*,1000,*,*,0,0
00:24:e4:db:3b:16,5c:a6:e6:88:ee:6c,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
00:24:e4:db:3b:16,5c:a6:e6:88:ee:6c,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
00:24:e4:db:3b:16,5c:a6:e6:88:ee:6c,0x0800,*,*,*,1,*,*,1000,*,*,0,0
5c:a6:e6:88:ee:6c,00:24:e4:db:3b:16,0x0800,*,*,*,17,123,*,1000,*,*,0,0
00:24:e4:db:3b:16,5c:a6:e6:88:ee:6c,0x0800,*,*,*,17,*,123,1000,*,*,0,0
5c:a6:e6:88:ee:6c,00:24:e4:db:3b:16,*,*,*,*,17,53,*,1000,*,*,0,0
00:24:e4:db:3b:16,5c:a6:e6:88:ee:6c,*,*,*,*,17,*,53,1000,*,*,0,0
*,00:24:e4:db:3b:16,0x0806,*,*,*,*,*,*,1000,*,*,0,0
00:24:e4:db:3b:16,*,0x0806,*,*,*,*,*,*,1000,*,*,0,0
00:24:e4:db:3b:16,5c:a6:e6:88:ee:6c,0x0800,*,*,*,17,*,*,800,*,*,0,0
00:24:e4:db:3b:16,5c:a6:e6:88:ee:6c,0x0800,*,*,*,6,*,*,800,*,*,0,0
5c:a6:e6:88:ee:6c,00:24:e4:db:3b:16,0x0800,*,*,*,17,*,*,700,*,*,0,0
5c:a6:e6:88:ee:6c,00:24:e4:db:3b:16,0x0800,*,*,*,6,*,*,700,*,*,0,0
00:24:e4:db:3b:16,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
00:24:e4:db:3b:16,*,0x0800,*,*,*,17,51830,*,610,*,*,72627,575
00:24:e4:db:3b:16,*,0x0800,*,*,*,17,23538,*,610,*,*,45738,363
00:24:e4:db:3b:16,*,0x0800,*,*,*,17,36253,*,610,*,*,51999,411
*,00:24:e4:db:3b:16,0x0800,*,*,*,17,*,36253,610,*,*,51999,411
*,00:24:e4:db:3b:16,0x0800,*,*,*,17,*,23538,610,*,*,45738,363
*,00:24:e4:db:3b:16,0x0800,*,*,*,17,*,51830,610,*,*,72627,575
*,00:24:e4:db:3b:16,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,00:24:e4:db:3b:16,0x0800,*,*,*,1,*,*,601,8,0,310,5
*,00:24:e4:db:3b:16,0x0800,*,*,*,17,*,*,600,*,*,1236,5
*,00:24:e4:db:3b:16,0x0800,*,*,*,6,*,*,600,*,*,58,1
